mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,furnishingstatus
yes,no,no,no,yes,yes,furnished
yes,no,no,no,yes,no,furnished
yes,no,yes,no,no,yes,semi-furnished
yes,no,yes,no,yes,yes,furnished
yes,yes,yes,no,yes,no,furnished
yes,no,yes,no,yes,yes,semi-furnished
yes,no,no,no,yes,yes,semi-furnished
yes,no,no,no,no,no,unfurnished
yes,yes,yes,no,yes,yes,furnished
yes,yes,no,no,yes,yes,unfurnished
yes,no,yes,no,yes,yes,furnished
yes,yes,yes,yes,no,no,semi-furnished
yes,no,no,no,yes,yes,semi-furnished
yes,no,no,yes,no,no,furnished
yes,no,no,no,no,yes,semi-furnished
yes,no,yes,no,no,no,semi-furnished
yes,yes,yes,no,yes,yes,unfurnished
yes,no,no,no,yes,no,furnished
yes,yes,no,no,yes,no,furnished
yes,no,no,no,yes,yes,semi-furnished
yes,no,yes,yes,no,no,semi-furnished
yes,yes,yes,no,yes,no,unfurnished
yes,yes,yes,no,yes,no,furnished
yes,yes,yes,no,yes,no,furnished
yes,no,no,no,yes,no,furnished
yes,yes,yes,no,yes,yes,furnished
yes,yes,yes,no,yes,yes,semi-furnished
yes,no,no,no,no,no,semi-furnished
yes,no,yes,yes,no,no,unfurnished
yes,no,yes,no,yes,yes,semi-furnished
yes,no,no,no,yes,no,unfurnished
yes,no,no,no,yes,no,semi-furnished
yes,no,no,no,yes,yes,furnished
yes,yes,yes,no,no,no,unfurnished
yes,yes,yes,no,yes,no,furnished
yes,no,no,no,yes,no,furnished
yes,no,no,yes,no,yes,furnished
yes,no,no,no,yes,no,furnished
yes,yes,no,no,yes,no,unfurnished
yes,no,no,no,yes,no,semi-furnished
yes,no,yes,no,yes,yes,furnished
yes,no,no,no,yes,yes,furnished
yes,no,no,no,yes,no,unfurnished
yes,no,no,no,no,no,semi-furnished
yes,no,no,no,yes,no,furnished
yes,no,no,no,yes,no,semi-furnished
yes,no,no,no,yes,no,furnished
yes,no,no,no,yes,yes,furnished
yes,no,yes,no,no,no,unfurnished
yes,yes,yes,no,yes,yes,semi-furnished
yes,no,no,no,no,yes,unfurnished
yes,no,no,no,yes,no,unfurnished
yes,yes,no,no,yes,no,furnished
yes,no,no,no,yes,no,semi-furnished
yes,yes,no,no,yes,no,semi-furnished
yes,no,no,no,yes,no,unfurnished
yes,no,yes,no,no,yes,semi-furnished
yes,yes,no,no,yes,yes,furnished
yes,yes,no,no,yes,no,semi-furnished
yes,yes,no,no,yes,no,furnished
yes,yes,no,no,no,no,semi-furnished
yes,no,no,no,yes,no,semi-furnished
yes,no,no,no,yes,no,furnished
yes,no,no,no,yes,yes,furnished
yes,no,yes,no,yes,yes,furnished
yes,no,yes,no,yes,no,furnished
yes,no,yes,yes,no,no,furnished
yes,no,no,no,no,no,unfurnished
yes,no,no,no,yes,no,furnished
yes,no,no,no,no,yes,furnished
yes,no,yes,no,yes,yes,semi-furnished
yes,no,no,no,yes,no,unfurnished
yes,no,no,no,yes,yes,unfurnished
yes,no,yes,no,no,yes,furnished
yes,no,yes,yes,no,no,furnished
yes,no,no,yes,no,no,semi-furnished
yes,no,no,no,yes,yes,furnished
yes,no,no,no,yes,yes,furnished
yes,yes,yes,no,yes,yes,furnished
yes,yes,no,no,yes,no,furnished
yes,no,no,yes,no,yes,semi-furnished
yes,no,yes,no,yes,no,semi-furnished
yes,no,yes,no,yes,yes,furnished
yes,no,no,no,yes,no,semi-furnished
yes,no,no,yes,no,no,semi-furnished
yes,no,no,no,yes,no,furnished
yes,no,yes,no,no,yes,unfurnished
yes,no,yes,no,no,no,semi-furnished
yes,yes,yes,no,yes,yes,unfurnished
yes,no,no,no,no,no,furnished
yes,no,no,no,yes,no,semi-furnished
yes,yes,yes,no,no,yes,furnished
yes,yes,no,no,yes,no,furnished
yes,no,yes,no,yes,no,semi-furnished
yes,no,no,no,no,no,semi-furnished
yes,no,no,no,yes,no,semi-furnished
yes,no,yes,no,no,yes,furnished
yes,yes,yes,no,yes,yes,semi-furnished
yes,no,no,no,yes,yes,unfurnished
yes,yes,yes,no,no,yes,unfurnished
yes,no,yes,no,yes,yes,unfurnished
yes,no,no,no,no,yes,unfurnished
yes,yes,no,no,yes,no,semi-furnished
yes,yes,no,no,yes,no,furnished
yes,yes,yes,no,no,yes,furnished
yes,no,no,no,yes,no,unfurnished
yes,no,yes,no,yes,yes,semi-furnished
yes,no,yes,no,no,yes,unfurnished
yes,no,no,no,no,no,semi-furnished
yes,yes,no,yes,no,no,semi-furnished
yes,yes,yes,no,no,yes,semi-furnished
yes,no,no,no,yes,no,unfurnished
yes,no,no,no,no,no,furnished
yes,no,yes,no,no,yes,furnished
yes,yes,yes,no,no,no,furnished
yes,yes,yes,no,yes,yes,semi-furnished
yes,yes,yes,no,no,yes,unfurnished
yes,yes,no,no,yes,no,furnished
yes,no,yes,no,yes,yes,furnished
yes,no,yes,no,yes,yes,semi-furnished
yes,yes,yes,no,no,yes,furnished
yes,yes,yes,no,yes,yes,semi-furnished
yes,no,yes,no,no,yes,semi-furnished
yes,no,no,no,no,no,furnished
yes,no,no,no,no,no,furnished
yes,no,no,no,yes,no,semi-furnished
yes,no,yes,no,no,yes,unfurnished
yes,no,no,no,yes,no,unfurnished
yes,yes,no,no,yes,no,furnished
yes,no,no,no,no,yes,semi-furnished
yes,yes,yes,no,no,no,unfurnished
yes,yes,no,no,no,no,semi-furnished
yes,no,no,no,yes,no,semi-furnished
yes,no,no,no,yes,no,unfurnished
yes,no,yes,no,no,yes,semi-furnished
yes,no,no,no,yes,no,unfurnished
yes,no,no,no,yes,no,unfurnished
yes,no,no,no,no,no,semi-furnished
yes,no,no,no,yes,no,semi-furnished
yes,yes,yes,no,yes,yes,furnished
yes,no,no,no,yes,no,unfurnished
yes,yes,yes,no,no,yes,semi-furnished
yes,no,no,no,no,no,semi-furnished
no,no,yes,yes,no,no,unfurnished
yes,yes,yes,no,yes,no,furnished
yes,no,no,no,no,no,furnished
yes,no,no,no,no,no,semi-furnished
yes,no,no,no,no,no,semi-furnished
yes,no,no,no,no,yes,semi-furnished
yes,no,yes,no,no,yes,semi-furnished
yes,yes,yes,no,yes,yes,unfurnished
yes,no,no,no,yes,yes,semi-furnished
yes,yes,yes,no,yes,yes,furnished
yes,no,yes,no,no,no,semi-furnished
yes,no,no,no,no,no,semi-furnished
yes,no,yes,no,no,yes,furnished
yes,yes,yes,no,no,yes,semi-furnished
no,yes,yes,no,no,no,furnished
yes,no,no,no,no,no,semi-furnished
yes,yes,yes,no,yes,no,furnished
yes,yes,no,no,yes,no,furnished
yes,yes,no,no,yes,yes,semi-furnished
yes,yes,yes,no,no,yes,semi-furnished
yes,yes,yes,no,yes,yes,semi-furnished
yes,yes,yes,no,no,yes,furnished
yes,yes,yes,yes,no,no,unfurnished
yes,no,yes,no,yes,yes,unfurnished
yes,no,no,no,yes,no,semi-furnished
yes,no,yes,no,yes,no,furnished
no,no,no,no,yes,no,semi-furnished
yes,no,yes,no,no,no,semi-furnished
yes,no,no,no,no,yes,semi-furnished
yes,yes,yes,no,yes,yes,unfurnished
yes,no,no,no,yes,yes,unfurnished
yes,yes,yes,no,no,yes,unfurnished
yes,yes,no,no,no,no,semi-furnished
yes,no,no,no,yes,no,furnished
yes,no,yes,no,no,yes,semi-furnished
yes,yes,yes,no,no,yes,semi-furnished
yes,no,no,no,no,no,semi-furnished
no,no,yes,no,yes,no,semi-furnished
yes,yes,yes,no,no,yes,furnished
no,no,no,no,yes,no,semi-furnished
yes,no,no,no,no,yes,semi-furnished
yes,yes,yes,no,no,no,furnished
yes,no,yes,no,no,no,unfurnished
yes,no,no,no,no,yes,furnished
yes,no,yes,no,yes,yes,semi-furnished
yes,no,no,no,yes,yes,unfurnished
no,yes,yes,no,no,no,semi-furnished
yes,no,no,no,yes,no,furnished
yes,yes,yes,no,no,no,semi-furnished
yes,yes,yes,no,no,yes,furnished
yes,yes,yes,no,no,no,semi-furnished
yes,yes,yes,no,no,no,semi-furnished
yes,no,yes,no,no,no,semi-furnished
yes,yes,yes,yes,no,no,semi-furnished
no,no,yes,no,yes,no,semi-furnished
yes,no,no,no,yes,no,semi-furnished
yes,no,no,no,no,no,furnished
yes,no,yes,no,yes,no,semi-furnished
no,yes,yes,no,yes,no,semi-furnished
yes,no,yes,no,no,no,semi-furnished
yes,no,no,no,no,no,semi-furnished
yes,yes,yes,no,no,no,semi-furnished
yes,no,no,no,yes,no,semi-furnished
yes,yes,yes,no,yes,no,semi-furnished
yes,no,yes,no,yes,no,semi-furnished
yes,no,no,no,no,no,semi-furnished
yes,no,no,no,no,no,unfurnished
yes,yes,yes,no,no,no,semi-furnished
yes,no,no,no,no,no,furnished
yes,no,yes,no,yes,no,semi-furnished
yes,no,yes,no,no,no,semi-furnished
yes,no,yes,no,no,no,unfurnished
yes,no,no,no,no,no,unfurnished
yes,no,no,no,no,yes,semi-furnished
